SampleDate,Analyte,Result,Latitude,Longitude,Year
2010/1/4,pH,8.12,38.6,-122.4,2010
2010/1/4,pH,7.9,38.6,-122.4,2010
2010/1/5,pH,7.7,34.0,-117.4,2010
2010/1/5,pH,7.9,33.9,-117.6,2010
2010/1/5,pH,7.7,34.0,-117.5,2010
2010/1/5,pH,8.4,34.0,-117.7,2010
2010/1/5,pH,7.57,37.3,-120.9,2010
2010/1/5,pH,8.45,37.3,-120.9,2010
2010/1/5,pH,7.49,37.3,-120.9,2010
2010/1/5,pH,7.56,37.6,-121.2,2010
2010/1/5,pH,7.2,37.4,-121.0,2010
2010/1/5,pH,6.92,37.3,-120.9,2010
2010/1/5,pH,7.47,37.5,-121.1,2010
2010/1/5,pH,7.65,37.7,-121.3,2010
2010/1/5,pH,8.3,33.9,-117.6,2010
2010/1/5,pH,7.66,37.2,-120.9,2010
2010/1/5,pH,7.3,37.3,-120.9,2010
2010/1/6,pH,6.69,38.1,-121.6,2010
2010/1/6,pH,6.92,38.2,-121.5,2010
2010/1/6,pH,7.66,38.2,-121.7,2010
2010/1/6,pH,7.32,32.8,-117.0,2010
2010/1/6,pH,6.74,32.8,-117.1,2010
2010/1/6,pH,7.39,32.9,-116.9,2010
2010/1/6,pH,8.09,33.7,-117.3,2010
2010/1/6,pH,8.0,33.7,-117.3,2010
2010/1/6,pH,7.9,33.7,-117.3,2010
2010/1/6,pH,7.9,33.7,-117.3,2010
2010/1/6,pH,8.04,33.7,-117.3,2010
2010/1/6,pH,7.88,33.7,-117.3,2010
2010/1/6,pH,7.82,33.7,-117.3,2010
2010/1/6,pH,7.84,33.7,-117.3,2010
2010/1/6,pH,7.86,33.7,-117.3,2010
2010/1/6,pH,7.92,33.7,-117.3,2010
2010/1/6,pH,8.01,33.7,-117.3,2010
2010/1/6,pH,7.87,33.7,-117.3,2010
2010/1/6,pH,7.81,33.7,-117.3,2010
2010/1/6,pH,7.75,33.7,-117.3,2010
2010/1/6,pH,7.76,33.7,-117.3,2010
2010/1/6,pH,7.82,33.7,-117.3,2010
2010/1/6,pH,8.1,33.7,-117.3,2010
2010/1/6,pH,8.06,33.7,-117.3,2010
2010/1/6,pH,7.82,33.7,-117.3,2010
2010/1/6,pH,7.81,33.7,-117.3,2010
2010/1/6,pH,7.83,33.7,-117.3,2010
2010/1/6,pH,7.85,33.7,-117.3,2010
2010/1/6,pH,7.84,33.7,-117.3,2010
2010/1/6,pH,7.87,33.7,-117.3,2010
2010/1/6,pH,7.91,33.7,-117.3,2010
2010/1/6,pH,7.92,33.7,-117.3,2010
2010/1/6,pH,7.94,33.7,-117.3,2010
2010/1/6,pH,8.09,33.7,-117.3,2010
2010/1/6,pH,7.9,33.7,-117.3,2010
2010/1/6,pH,7.9,33.7,-117.3,2010
2010/1/6,pH,8.11,33.7,-117.3,2010
2010/1/6,pH,7.98,33.7,-117.3,2010
2010/1/6,pH,7.88,33.7,-117.3,2010
2010/1/6,pH,7.94,33.7,-117.3,2010
2010/1/6,pH,7.95,33.7,-117.3,2010
2010/1/6,pH,7.97,33.7,-117.3,2010
2010/1/6,pH,8.04,33.7,-117.3,2010
2010/1/6,pH,8.06,33.7,-117.3,2010
2010/1/6,pH,7.88,33.7,-117.3,2010
2010/1/6,pH,7.82,33.7,-117.3,2010
2010/1/6,pH,7.86,33.7,-117.3,2010
2010/1/6,pH,7.92,33.7,-117.3,2010
2010/1/6,pH,7.87,33.7,-117.3,2010
2010/1/6,pH,7.77,33.7,-117.3,2010
2010/1/6,pH,7.92,33.7,-117.3,2010
2010/1/6,pH,7.88,33.7,-117.3,2010
2010/1/6,pH,7.94,33.7,-117.3,2010
2010/1/6,pH,7.92,33.7,-117.3,2010
2010/1/6,pH,8.01,33.7,-117.3,2010
2010/1/6,pH,7.97,33.7,-117.3,2010
2010/1/6,pH,7.81,33.7,-117.3,2010
2010/1/6,pH,7.75,33.7,-117.3,2010
2010/1/6,pH,7.76,33.7,-117.3,2010
2010/1/6,pH,7.82,33.7,-117.3,2010
2010/1/6,pH,6.64,38.1,-121.5,2010
2010/1/6,pH,7.36,32.8,-117.2,2010
2010/1/6,pH,7.27,32.6,-117.1,2010
2010/1/6,pH,7.15,32.7,-116.9,2010
2010/1/6,pH,8.0,33.7,-117.3,2010
2010/1/6,pH,8.1,33.7,-117.3,2010
2010/1/6,pH,7.82,33.7,-117.3,2010
2010/1/6,pH,7.81,33.7,-117.3,2010
2010/1/6,pH,7.83,33.7,-117.3,2010
2010/1/6,pH,7.85,33.7,-117.3,2010
2010/1/6,pH,7.87,33.7,-117.3,2010
2010/1/6,pH,7.91,33.7,-117.3,2010
2010/1/6,pH,7.92,33.7,-117.3,2010
2010/1/6,pH,7.94,33.7,-117.3,2010
2010/1/6,pH,8.11,33.7,-117.3,2010
2010/1/6,pH,7.98,33.7,-117.3,2010
2010/1/6,pH,7.92,33.7,-117.3,2010
2010/1/6,pH,7.95,33.7,-117.3,2010
2010/1/6,pH,7.92,33.7,-117.3,2010
2010/1/6,pH,7.77,33.7,-117.3,2010
2010/1/9,pH,7.66,34.4,-119.2,2010
2010/1/9,pH,7.8,34.4,-119.2,2010
2010/1/9,pH,7.73,34.4,-119.3,2010
2010/1/9,pH,8.3,34.3,-119.3,2010
2010/1/9,pH,7.98,34.4,-119.3,2010
2010/1/9,pH,7.69,34.5,-119.3,2010
2010/1/9,pH,7.48,34.5,-119.3,2010
