SampleDate,Analyte,Result,Latitude,Longitude,Year
2010/1/4,"Turbidity, Total",0.47,35.3,-120.7,2010
2010/1/4,"Turbidity, Total",1.6,35.3,-120.7,2010
2010/1/4,"Turbidity, Total",0.42,38.6,-122.4,2010
2010/1/5,"Turbidity, Total",15.9,33.9,-117.6,2010
2010/1/5,"Turbidity, Total",7.51,34.0,-117.7,2010
2010/1/5,"Turbidity, Total",9.46,34.0,-117.5,2010
2010/1/5,"Turbidity, Total",5.23,33.9,-117.6,2010
2010/1/5,"Turbidity, Total",7.04,34.0,-117.4,2010
2010/1/6,"Turbidity, Total",0.34,35.4,-120.7,2010
2010/1/6,"Turbidity, Total",10.4,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",10.6,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",2.6,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",3.1,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",2.8,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",12.3,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",2.2,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",1.8,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",3.1,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",1.9,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",1.2,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",6.8,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",14.2,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",10.2,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",2.6,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",2.5,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",2.6,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",2.7,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",2.9,33.7,-117.3,2010
2010/1/6,"Turbidity, Total",10.4,33.7,-117.3,2010
