SampleDate,Analyte,Result,Latitude,Longitude,Year
2010/1/4,Temperature,5.5,38.6,-122.4,2010
2010/1/4,Temperature,7.1,38.6,-122.4,2010
2010/1/4,Temperature,11.3,35.3,-120.7,2010
2010/1/4,Temperature,11.4,35.3,-120.7,2010
2010/1/5,Temperature,12.8,34.0,-117.5,2010
2010/1/5,Temperature,14.2,33.9,-117.6,2010
2010/1/5,Temperature,12.2,34.0,-117.4,2010
2010/1/5,Temperature,14.0,33.9,-117.6,2010
2010/1/5,Temperature,10.57,37.3,-120.9,2010
2010/1/5,Temperature,10.45,37.3,-120.9,2010
2010/1/5,Temperature,10.82,37.5,-121.1,2010
2010/1/5,Temperature,10.38,37.3,-120.9,2010
2010/1/5,Temperature,10.44,37.7,-121.3,2010
2010/1/5,Temperature,20.9,34.0,-117.7,2010
2010/1/5,Temperature,10.2,37.3,-120.9,2010
2010/1/5,Temperature,10.94,37.2,-120.9,2010
2010/1/5,Temperature,10.69,37.6,-121.2,2010
2010/1/5,Temperature,10.25,37.4,-121.0,2010
2010/1/5,Temperature,10.38,37.3,-120.9,2010
2010/1/6,Temperature,9.2,38.1,-121.6,2010
2010/1/6,Temperature,9.2,38.1,-121.5,2010
2010/1/6,Temperature,8.9,38.2,-121.7,2010
2010/1/6,Temperature,8.4,38.2,-121.5,2010
2010/1/6,Temperature,12.0,32.8,-117.1,2010
2010/1/6,Temperature,12.2,32.8,-117.0,2010
2010/1/6,Temperature,10.6,35.4,-120.7,2010
2010/1/6,Temperature,11.7,32.6,-117.1,2010
2010/1/6,Temperature,10.6,32.9,-116.9,2010
2010/1/6,Temperature,12.4,32.8,-117.2,2010
2010/1/6,Temperature,14.2,33.7,-117.3,2010
2010/1/6,Temperature,12.3,33.7,-117.3,2010
2010/1/6,Temperature,11.7,33.7,-117.3,2010
2010/1/6,Temperature,11.5,33.7,-117.3,2010
2010/1/6,Temperature,11.5,33.7,-117.3,2010
2010/1/6,Temperature,11.7,33.7,-117.3,2010
2010/1/6,Temperature,11.4,33.7,-117.3,2010
2010/1/6,Temperature,11.6,33.7,-117.3,2010
2010/1/6,Temperature,12.1,33.7,-117.3,2010
2010/1/6,Temperature,11.8,33.7,-117.3,2010
2010/1/6,Temperature,11.8,33.7,-117.3,2010
2010/1/6,Temperature,12.3,33.7,-117.3,2010
2010/1/6,Temperature,11.4,33.7,-117.3,2010
2010/1/6,Temperature,12.7,33.7,-117.3,2010
2010/1/6,Temperature,12.7,33.7,-117.3,2010
2010/1/6,Temperature,12.4,33.7,-117.3,2010
2010/1/6,Temperature,13.3,33.7,-117.3,2010
2010/1/6,Temperature,13.0,33.7,-117.3,2010
2010/1/6,Temperature,11.6,33.7,-117.3,2010
2010/1/6,Temperature,11.4,33.7,-117.3,2010
2010/1/6,Temperature,11.4,33.7,-117.3,2010
2010/1/6,Temperature,11.7,33.7,-117.3,2010
2010/1/6,Temperature,11.4,33.7,-117.3,2010
2010/1/6,Temperature,11.6,33.7,-117.3,2010
2010/1/6,Temperature,11.6,33.7,-117.3,2010
2010/1/6,Temperature,11.3,33.7,-117.3,2010
2010/1/6,Temperature,12.4,33.7,-117.3,2010
2010/1/6,Temperature,12.8,33.7,-117.3,2010
2010/1/6,Temperature,11.7,33.7,-117.3,2010
2010/1/6,Temperature,11.9,33.7,-117.3,2010
2010/1/6,Temperature,12.6,33.7,-117.3,2010
2010/1/6,Temperature,12.4,33.7,-117.3,2010
2010/1/6,Temperature,12.7,33.7,-117.3,2010
2010/1/6,Temperature,12.7,33.7,-117.3,2010
2010/1/6,Temperature,11.6,33.7,-117.3,2010
2010/1/6,Temperature,11.5,33.7,-117.3,2010
2010/1/6,Temperature,11.4,33.7,-117.3,2010
2010/1/6,Temperature,11.4,33.7,-117.3,2010
2010/1/6,Temperature,11.7,33.7,-117.3,2010
2010/1/6,Temperature,11.4,33.7,-117.3,2010
2010/1/6,Temperature,11.6,33.7,-117.3,2010
2010/1/6,Temperature,11.6,33.7,-117.3,2010
2010/1/6,Temperature,11.3,33.7,-117.3,2010
2010/1/6,Temperature,12.4,33.7,-117.3,2010
2010/1/6,Temperature,11.7,33.7,-117.3,2010
2010/1/6,Temperature,11.9,33.7,-117.3,2010
2010/1/6,Temperature,12.6,33.7,-117.3,2010
2010/1/6,Temperature,12.4,33.7,-117.3,2010
2010/1/6,Temperature,12.4,33.7,-117.3,2010
2010/1/6,Temperature,12.9,33.7,-117.3,2010
2010/1/6,Temperature,12.8,33.7,-117.3,2010
2010/1/6,Temperature,11.8,32.7,-116.9,2010
2010/1/6,Temperature,14.2,33.7,-117.3,2010
2010/1/6,Temperature,12.3,33.7,-117.3,2010
2010/1/6,Temperature,11.7,33.7,-117.3,2010
2010/1/6,Temperature,11.5,33.7,-117.3,2010
2010/1/6,Temperature,11.5,33.7,-117.3,2010
2010/1/6,Temperature,11.5,33.7,-117.3,2010
2010/1/6,Temperature,11.7,33.7,-117.3,2010
2010/1/6,Temperature,11.4,33.7,-117.3,2010
2010/1/6,Temperature,11.6,33.7,-117.3,2010
