county,Year,median_tb_Result
Alameda,2010,37.0
Alameda,2011,7.115
Alameda,2012,3.76
Alameda,2013,2.9
Alameda,2014,7.375
Alameda,2015,1.85
Alameda,2016,0.86
Alameda,2017,0.619
Alpine,2010,1.45
Alpine,2011,1.665
Alpine,2012,0.98
Alpine,2013,0.5449999999999999
Alpine,2014,1.08
Alpine,2015,1.15
Alpine,2016,1.13
Alpine,2017,0.63
Amador,2010,1.3599999999999999
Amador,2011,0.75
Amador,2012,0.82
Amador,2013,0.27
Amador,2014,0.945
Amador,2015,1.56
Butte,2010,3.78
Butte,2011,3.53
Butte,2012,3.7
Butte,2013,3.6
Butte,2014,7.0
Butte,2015,8.585
Butte,2016,34.5
Calaveras,2010,1.46
Calaveras,2011,2.0300000000000002
Calaveras,2012,0.84
Calaveras,2013,0.71
Calaveras,2014,0.97
Calaveras,2015,0.38
Colusa,2010,18.1
Colusa,2011,21.5
Colusa,2012,22.0
Colusa,2013,14.5
Colusa,2014,18.0
Colusa,2015,27.1
Colusa,2016,84.025
Contra Costa,2010,19.1
Contra Costa,2011,5.55
Contra Costa,2012,1.49
Contra Costa,2013,7.005
Contra Costa,2014,27.0
Contra Costa,2015,11.37
Del Norte,2010,1.16
Del Norte,2011,1.85
Del Norte,2012,0.98
Del Norte,2013,1.2
Del Norte,2014,2.2
Del Norte,2015,0.81
Del Norte,2016,1.0150000000000001
El Dorado,2010,0.94
El Dorado,2011,0.51
El Dorado,2012,3.93
El Dorado,2013,1.05
El Dorado,2014,14.9
El Dorado,2015,30.1
El Dorado,2016,12.15
Fresno,2010,6.085
Fresno,2011,2.15
Fresno,2012,0.755
Fresno,2013,0.82
Fresno,2014,1.07
Fresno,2015,3.0
Fresno,2016,2.35
Glenn,2010,8.9
Glenn,2011,7.25
Glenn,2012,5.12
Glenn,2013,4.5
Glenn,2014,25.5
Glenn,2015,9.78
Humboldt,2010,0.42
Humboldt,2011,2.05
Humboldt,2012,1.105
Humboldt,2013,1.03
Humboldt,2014,1.9
Humboldt,2015,0.79
Humboldt,2016,1.3
Imperial,2010,53.6
Imperial,2011,34.3
Imperial,2012,84.7
Imperial,2013,97.45
Imperial,2015,32.8
Inyo,2010,1.4500000000000002
Inyo,2011,1.1
Inyo,2012,1.74
Inyo,2013,0.92
Inyo,2014,1.55
Inyo,2015,0.825
Inyo,2016,1.4649999999999999
Kern,2010,29.05
Kern,2011,11.55
Kern,2012,16.2
Kern,2013,45.95
Kern,2014,12.9
Kings,2010,4.36
Kings,2011,3.4
Kings,2012,10.9
Kings,2013,14.35
Kings,2014,46.2
Lake,2010,0.82
Lake,2011,0.8
Lake,2012,0.665
Lake,2013,0.2
Lake,2014,0.6000000000000001
Lake,2015,0.97
Lassen,2010,12.7
Lassen,2011,8.425
Lassen,2012,7.475
Lassen,2013,4.69
Lassen,2014,2.06
Lassen,2015,2.94
Lassen,2016,4.855
Lassen,2017,9.19
Los Angeles,2010,0.99
Los Angeles,2011,1.395
Los Angeles,2012,4.1899999999999995
Los Angeles,2013,3.04
Los Angeles,2014,1.23
Los Angeles,2015,3.855
Los Angeles,2016,22.5
Los Angeles,2017,0.7250000000000001
Madera,2010,2.185
