,county,median_oxy_Result
0,Alameda,9.02
1,Alpine,9.03
2,Amador,8.11
3,Butte,8.67
4,Calaveras,9.215
5,Colusa,8.02
6,Contra Costa,9.34
7,Del Norte,11.95
8,El Dorado,8.38
9,Fresno,9.45
10,Glenn,8.915
11,Humboldt,12.26
12,Imperial,13.295
13,Inyo,12.1
14,Kern,8.225000000000001
15,Kings,8.61
16,Lake,9.41
17,Lassen,12.27
18,Los Angeles,7.995
19,Madera,9.27
20,Marin,9.97
21,Mariposa,6.5
22,Mendocino,12.46
23,Merced,9.29
24,Modoc,8.405000000000001
25,Mono,10.4
26,Monterey,14.875
27,Napa,10.9
28,Nevada,8.7
29,Orange,7.29
30,Placer,8.4
31,Plumas,8.48
32,Riverside,6.6
33,Sacramento,9.1
34,San Benito,18.97
35,San Bernardino,9.46
36,San Diego,8.71
37,San Joaquin,7.4
38,San Luis Obispo,15.51
39,San Mateo,10.88
40,Santa Barbara,20.0
41,Santa Clara,10.735
42,Santa Cruz,13.655000000000001
43,Shasta,10.0
44,Sierra,9.0
45,Siskiyou,10.94
46,Solano,9.55
47,Sonoma,10.95
48,Stanislaus,7.96
49,Sutter,7.855
50,Tehama,10.1
51,Trinity,12.88
52,Tulare,9.28
53,Tuolumne,8.495000000000001
54,Ventura,15.375
55,Yolo,7.3
56,Yuba,8.42
