county,Year,median_ph_Result
Alameda,2010,8.065000000000001
Alameda,2011,7.970000000000001
Alameda,2012,7.64
Alameda,2013,8.1
Alameda,2014,7.93
Alameda,2015,7.07
Alameda,2016,8.01
Alameda,2017,7.53
Alpine,2010,7.8
Alpine,2011,7.9
Alpine,2012,8.129999999999999
Alpine,2013,8.1
Alpine,2014,7.77
Alpine,2015,7.6850000000000005
Alpine,2016,7.545
Alpine,2017,7.833333
Amador,2010,8.16
Amador,2011,7.71
Amador,2012,7.95
Amador,2013,7.87
Amador,2014,7.675000000000001
Amador,2015,7.0
Amador,2016,6.8
Amador,2017,7.7
Butte,2010,7.54
Butte,2011,7.87
Butte,2012,7.755
Butte,2013,7.7
Butte,2014,7.635
Butte,2015,7.5
Butte,2016,7.29
Calaveras,2010,7.79
Calaveras,2011,7.73
Calaveras,2012,7.63
Calaveras,2013,7.65
Calaveras,2014,7.47
Calaveras,2015,8.4
Colusa,2010,7.865
Colusa,2011,7.98
Colusa,2012,7.9
Colusa,2013,7.835
Colusa,2014,7.91
Colusa,2015,8.01
Colusa,2016,7.69
Contra Costa,2010,7.779999999999999
Contra Costa,2011,7.7
Contra Costa,2012,7.8
Contra Costa,2013,7.92
Contra Costa,2014,7.665
Contra Costa,2015,7.33
Contra Costa,2016,7.4
Contra Costa,2017,7.555
Del Norte,2010,8.024999999999999
Del Norte,2011,8.15
Del Norte,2012,7.99
Del Norte,2013,7.93
Del Norte,2014,7.85
Del Norte,2015,7.595
Del Norte,2016,8.004999999999999
El Dorado,2010,7.495
El Dorado,2011,7.640000000000001
El Dorado,2012,8.280000000000001
El Dorado,2013,7.675
El Dorado,2014,7.59
El Dorado,2015,7.36
El Dorado,2016,7.2
El Dorado,2017,7.6
Fresno,2010,7.640000000000001
Fresno,2011,7.05
Fresno,2012,6.99
Fresno,2013,7.619999999999999
Fresno,2014,7.605
Fresno,2015,8.32
Fresno,2016,7.87
Glenn,2010,7.74
Glenn,2011,7.859999999999999
Glenn,2012,7.800000000000001
