,county,median_tb_Result
0,Alameda,4.4
1,Alpine,1.15
2,Amador,0.7849999999999999
3,Butte,4.045
4,Calaveras,0.97
5,Colusa,25.85
6,Contra Costa,8.7
7,Del Norte,1.4
8,El Dorado,4.984999999999999
9,Fresno,1.17
10,Glenn,6.9
11,Humboldt,0.94
12,Imperial,60.2
13,Inyo,1.085
14,Kern,20.3
15,Kings,6.16
16,Lake,0.7
17,Lassen,4.574999999999999
18,Los Angeles,2.58
19,Madera,1.57
20,Marin,4.02
21,Mariposa,9.09
22,Mendocino,0.8200000000000001
23,Merced,25.0
24,Modoc,5.3
25,Mono,1.57
26,Monterey,39.150000000000006
27,Napa,1.92
28,Nevada,1.32
29,Orange,14.0
30,Placer,3.89
31,Plumas,3.3
32,Riverside,10.715
33,Sacramento,4.18
34,San Benito,27.4
35,San Bernardino,3.47
36,San Diego,2.45
37,San Joaquin,14.0
38,San Luis Obispo,2.01
39,San Mateo,2.7
40,Santa Barbara,4.34
41,Santa Clara,11.5
42,Santa Cruz,4.67
43,Shasta,2.71
44,Sierra,0.74
45,Siskiyou,2.3
46,Solano,17.0
47,Sonoma,4.25
48,Stanislaus,17.0
49,Sutter,11.7
50,Tehama,1.975
51,Trinity,0.49
52,Tulare,1.37
53,Tuolumne,1.44
54,Ventura,1.58
55,Yolo,24.4
56,Yuba,6.71
