,county,median_temp_Result
0,Alameda,17.8
1,Alpine,8.9
2,Amador,15.0
3,Butte,16.4
4,Calaveras,15.3
5,Colusa,20.67
6,Contra Costa,17.055
7,Del Norte,12.5
8,El Dorado,16.0
9,Fresno,14.6
10,Glenn,15.7
11,Humboldt,20.41
12,Imperial,21.58
13,Inyo,13.0
14,Kern,21.05
15,Kings,18.5
16,Lake,17.15
17,Lassen,13.9
18,Los Angeles,17.8
19,Madera,16.2
20,Marin,14.48
21,Mariposa,14.445
22,Mendocino,15.24
23,Merced,18.89
24,Modoc,11.45
25,Mono,11.5
26,Monterey,17.5
27,Napa,15.91
28,Nevada,14.12
29,Orange,13.17
30,Placer,14.5
31,Plumas,15.1
32,Riverside,18.39
33,Sacramento,18.47
34,San Benito,18.29
35,San Bernardino,17.85
36,San Diego,18.68
37,San Joaquin,18.5
38,San Luis Obispo,16.115000000000002
39,San Mateo,14.2
40,Santa Barbara,17.69
41,Santa Clara,15.8
42,Santa Cruz,16.1
43,Shasta,14.9
44,Sierra,15.135
45,Siskiyou,13.25
46,Solano,16.13
47,Sonoma,18.37
48,Stanislaus,17.49
49,Sutter,20.3
50,Tehama,14.05
51,Trinity,13.59
52,Tulare,16.6
53,Tuolumne,17.7
54,Ventura,17.4
55,Yolo,21.5
56,Yuba,18.7
